SAPHYR_N;SAPHYR_N_EN;saphyr_id
Lockergestein;Unconsolidated sediments;1
Mergel;Marls;2
Silt/Ton;Silt, Mud & Claystones;3
Kalkstein;Limestones;4
Sandstein;Sandstones;5
Konglomerat/Brekzie;Conglomerates & Breccias;6
Dolomit;Dolomites;7
Radiolarit;Radiolarites;8
Granit;Granites;9
Syenit;Syenites;10
Gabbro/Diorit;Gabbros & Diorites;11
Vulkanit;Volcanic rocks;12
Phyllit;Phylites;13
Quarzit;Quarzites;14
Marmor;Marbles;15
Gneiss;Gneisses;16
Schiefer;Schists;17
Amphibolit;Amphibolites;18
Serpentinit;Serpentinites;19
Peridotit;Peridotites;20
Ekolgit;Eclogites;21
Gletscher;Glaciers;22
See;Lakes;23
